Sorted by highest frequency
Relation id, count
421, 2351
565, 2144
1122, 2110
1164, 2093
721, 1918
1142, 1809
508, 1737
1226, 1436
86, 1408
624, 1395
93, 1194
143, 1158
751, 1146
136, 1111
1096, 1038
516, 985
844, 968
1111, 956
65, 885
1147, 876
35, 865
875, 858
665, 855
589, 850
853, 789
53, 785
1296, 757
52, 736
1138, 728
887, 723
1088, 695
246, 654
1053, 653
910, 619
387, 587
192, 583
381, 572
814, 571
684, 545
242, 510
745, 510
180, 484
1058, 484
805, 456
296, 431
326, 429
648, 429
316, 415
104, 409
1340, 405
368, 389
1008, 389
204, 385
1014, 383
1263, 383
425, 377
495, 367
1201, 362
42, 361
74, 360
856, 360
472, 354
520, 353
1079, 346
892, 342
58, 340
384, 335
1180, 335
429, 324
935, 324
1207, 323
277, 321
748, 313
712, 310
78, 304
583, 303
595, 299
269, 298
233, 292
530, 291
261, 277
1128, 277
1168, 274
254, 270
1123, 267
845, 266
319, 259
597, 259
354, 258
5, 257
76, 256
1044, 249
832, 244
330, 242
190, 235
600, 234
579, 232
514, 231
548, 229
241, 226
976, 224
488, 222
160, 210
1278, 210
298, 201
577, 200
1275, 199
1218, 198
62, 197
193, 194
973, 193
200, 192
1259, 188
1004, 187
248, 186
872, 180
336, 179
898, 178
619, 177
1339, 177
838, 176
1334, 174
948, 170
349, 166
1257, 166
635, 164
1273, 161
85, 160
329, 160
588, 160
1144, 160
788, 157
461, 156
902, 152
826, 149
923, 149
1052, 147
355, 145
890, 143
3, 139
1001, 139
727, 135
333, 134
475, 133
622, 133
37, 129
12, 125
280, 125
734, 124
991, 124
637, 123
459, 122
536, 121
877, 121
699, 120
971, 120
54, 119
968, 119
8, 117
803, 117
1158, 117
189, 116
376, 116
394, 115
470, 113
30, 112
1291, 111
144, 110
725, 110
858, 109
793, 107
59, 106
511, 106
188, 103
382, 103
416, 103
56, 102
1245, 101
282, 100
134, 99
352, 97
779, 97
781, 96
1327, 96
71, 95
880, 95
863, 92
573, 91
947, 91
969, 91
1194, 91
460, 90
761, 90
1328, 90
1, 89
1244, 89
327, 87
484, 86
925, 86
1255, 86
786, 85
310, 84
1011, 84
47, 82
118, 81
360, 81
1321, 80
45, 79
184, 79
265, 79
444, 78
960, 77
1177, 77
571, 76
601, 75
922, 75
346, 74
462, 74
428, 73
936, 73
442, 72
802, 72
801, 71
946, 71
302, 70
612, 70
800, 70
49, 69
723, 68
861, 67
436, 66
527, 65
792, 65
1179, 65
700, 64
591, 63
543, 62
904, 62
195, 61
388, 61
953, 61
1227, 61
95, 60
314, 60
1246, 60
199, 58
522, 57
448, 56
456, 56
485, 56
229, 55
926, 55
1267, 55
1331, 55
207, 54
642, 54
705, 54
1171, 54
33, 52
311, 52
653, 52
1282, 52
1298, 52
89, 51
553, 51
866, 51
1260, 51
432, 50
765, 50
981, 50
631, 49
791, 49
1013, 49
167, 48
216, 48
477, 48
494, 48
780, 48
859, 47
978, 47
98, 46
126, 46
1103, 46
60, 45
1080, 45
774, 43
963, 43
390, 42
909, 42
1028, 42
318, 41
933, 41
989, 41
1092, 41
73, 40
285, 40
493, 40
749, 40
768, 40
535, 39
668, 39
983, 39
1104, 39
1137, 39
1170, 39
1238, 39
50, 38
225, 38
385, 38
440, 37
479, 37
578, 37
842, 37
938, 37
996, 37
1286, 37
441, 36
445, 36
562, 36
604, 36
864, 36
1005, 36
1174, 36
1214, 36
120, 35
402, 35
717, 35
766, 35
1064, 35
1156, 35
1173, 35
14, 34
306, 34
458, 34
1050, 34
1203, 34
332, 33
450, 33
1031, 33
1157, 33
15, 32
163, 32
341, 32
356, 32
836, 32
879, 32
1097, 32
1139, 32
1279, 32
103, 31
154, 31
500, 31
810, 31
965, 31
148, 30
150, 30
309, 30
468, 30
469, 30
474, 30
634, 30
1081, 30
1241, 30
515, 29
738, 29
1120, 29
203, 28
322, 28
363, 28
452, 28
860, 28
876, 28
1016, 28
1249, 28
9, 27
48, 27
119, 27
208, 27
213, 27
259, 27
271, 27
798, 27
1034, 27
1112, 27
1215, 27
83, 26
176, 26
210, 26
559, 26
692, 26
1045, 26
1089, 26
1093, 26
1200, 26
26, 25
64, 25
308, 25
334, 25
353, 25
438, 25
582, 25
670, 25
733, 25
854, 25
870, 25
954, 25
1124, 25
1213, 25
1274, 25
1330, 25
166, 24
168, 24
209, 24
