Sorted by highest frequency
Relation id, count
421, 1555
1122, 1477
1164, 1454
565, 1435
721, 1399
508, 1215
1142, 1153
624, 927
93, 925
1226, 924
86, 864
751, 787
143, 780
665, 764
136, 684
1096, 668
516, 661
844, 648
1147, 619
65, 602
53, 601
35, 595
1111, 594
589, 585
246, 566
875, 556
853, 527
1138, 492
1296, 486
887, 475
1088, 469
1053, 462
910, 451
684, 384
745, 361
805, 356
52, 354
1058, 334
104, 331
192, 328
381, 324
814, 324
326, 323
180, 311
648, 304
296, 298
387, 294
429, 289
1340, 286
204, 274
368, 267
384, 266
892, 262
425, 259
520, 259
495, 257
242, 253
1263, 251
1014, 250
856, 246
42, 241
1180, 241
58, 238
74, 232
1008, 230
472, 226
583, 224
1207, 221
277, 220
233, 207
1079, 205
935, 198
1168, 197
1201, 197
254, 191
78, 190
488, 187
319, 184
269, 180
597, 180
600, 175
1044, 175
530, 174
1123, 173
548, 170
241, 169
76, 168
316, 167
595, 167
832, 167
514, 164
976, 162
748, 161
330, 154
190, 152
160, 151
577, 149
200, 144
261, 144
475, 143
298, 142
1278, 141
329, 136
354, 134
1004, 133
1334, 133
1218, 132
579, 131
5, 129
1128, 129
948, 128
336, 126
461, 121
1275, 121
62, 120
838, 120
845, 119
973, 119
1052, 119
248, 118
872, 118
619, 115
588, 114
727, 113
1339, 110
712, 108
355, 105
898, 104
902, 103
193, 101
1257, 101
923, 100
1144, 100
3, 98
1001, 94
1259, 94
803, 90
1158, 90
394, 89
968, 89
85, 88
991, 88
37, 87
333, 87
971, 84
349, 83
1273, 82
725, 81
622, 80
699, 80
890, 79
189, 78
969, 78
280, 77
793, 77
788, 76
826, 76
56, 75
863, 75
54, 74
511, 73
188, 72
416, 72
459, 72
47, 71
1, 70
382, 70
470, 70
536, 70
314, 69
734, 69
199, 68
877, 67
1245, 67
8, 66
1179, 66
45, 65
118, 64
553, 64
573, 64
1255, 64
59, 63
1194, 63
282, 62
71, 61
12, 60
925, 60
442, 59
781, 59
947, 59
1227, 59
484, 58
1244, 58
184, 57
360, 57
637, 57
346, 56
485, 56
635, 56
904, 56
376, 55
436, 55
880, 55
936, 55
30, 54
779, 54
792, 54
1011, 54
1177, 54
938, 53
302, 52
462, 52
723, 52
780, 51
861, 51
444, 49
953, 49
1321, 49
144, 48
477, 48
802, 48
800, 47
460, 46
1331, 46
1327, 45
535, 44
981, 44
95, 43
265, 42
448, 42
527, 42
761, 42
33, 41
60, 41
352, 41
571, 40
612, 40
765, 39
1246, 39
1282, 39
1291, 39
1328, 39
311, 38
402, 38
428, 37
631, 37
749, 37
