[8707, 280, 12196, 1226, 4871, 844, 10683]
[2465, 721, 9781, 86, 1373, 296, 6727]
[1761, 180, 1402, 488, 12223, 326, 8650]
[7061, 735, 7811, 926, 5926, 296, 12795]
[11638, 204, 8712, 204, 7197, 875, 8386]
[10520, 1243, 6856, 52, 2194, 327, 13591]
[1465, 421, 13534, 648, 14113, 844, 9824]
[13144, 589, 8807, 1201, 13337, 1122, 13416]
[7352, 910, 6947, 910, 8861, 421, 4688]
[3786, 516, 6540, 93, 7141, 565, 10359]
[938, 93, 7724, 595, 1470, 1328, 236]
[1133, 1263, 12761, 589, 3256, 856, 11411]
[2075, 1286, 5201, 684, 4943, 42, 4451]
[4589, 319, 1404, 802, 4078, 123, 491]
[311, 381, 4746, 665, 2779, 381, 6547]
[2595, 1096, 13834, 1079, 7164, 635, 1810]
[7443, 892, 14779, 429, 14728, 241, 7550]
[12274, 1122, 11877, 143, 13889, 1122, 4145]
[10916, 1226, 8275, 751, 10916, 1144, 9513]
[13417, 296, 10243, 1207, 13783, 637, 3325]
[352, 516, 8470, 93, 12112, 1142, 9687]
[6910, 803, 4002, 421, 6910, 577, 12223]
[2185, 875, 4419, 853, 6573, 875, 4419]
[5756, 904, 12776, 904, 7338, 65, 13620]
[353, 1296, 4707, 573, 6475, 136, 11258]
[14761, 853, 11410, 875, 14568, 853, 1652]
[10514, 721, 9781, 86, 13977, 526, 11876]
[456, 892, 12782, 148, 13534, 52, 7107]
[3086, 1226, 2217, 751, 12583, 1142, 12724]
[6389, 118, 13464, 880, 7860, 1244, 9900]
[3165, 93, 6930, 53, 13500, 845, 3340]
[12068, 1226, 10909, 935, 733, 814, 1433]
[4169, 577, 12223, 47, 10599, 349, 7216]
[6356, 1122, 11500, 1122, 6966, 143, 3901]
[9482, 1096, 2744, 845, 13350, 858, 8574]
[11852, 477, 11242, 1296, 8001, 875, 4684]
[13901, 302, 9638, 935, 733, 814, 13517]
[10140, 624, 3560, 241, 7434, 631, 11409]
[10055, 627, 14933, 910, 4872, 52, 2130]
[11976, 78, 10980, 52, 8593, 316, 4535]
[8213, 1226, 13602, 748, 5590, 261, 8359]
[3445, 19, 2327, 814, 9508, 619, 12592]
[2386, 1249, 8808, 844, 7779, 648, 13009]
[10286, 1138, 13088, 277, 13716, 187, 1726]
[5723, 330, 6327, 3, 8596, 330, 6327]
[5040, 844, 8440, 65, 9469, 751, 11997]
[2295, 721, 8269, 86, 1662, 190, 7890]
[8007, 143, 13188, 462, 14242, 495, 14045]
[5851, 421, 12937, 354, 788, 1128, 12216]
[9371, 472, 5358, 193, 10763, 565, 5086]
[10259, 421, 6856, 1164, 1439, 421, 6856]
[13848, 93, 1914, 721, 8269, 86, 3709]
[1133, 384, 9352, 1111, 9021, 751, 1499]
[2312, 316, 715, 5, 756, 826, 6106]
[7471, 1138, 13088, 277, 1457, 76, 8795]
[3331, 1122, 14237, 241, 8265, 1246, 6810]
[4363, 565, 10241, 508, 9663, 565, 6815]
[4553, 565, 4415, 508, 13882, 1226, 4212]
[12526, 319, 14209, 1122, 4606, 589, 12526]
[9301, 1164, 2367, 721, 8269, 86, 12431]
[12602, 799, 7201, 1133, 9505, 1104, 8279]
[13098, 1104, 13325, 1157, 8589, 296, 5825]
[7942, 381, 7555, 665, 1203, 387, 4746]
[9950, 1201, 7026, 589, 503, 136, 10959]
[13394, 1138, 14764, 254, 7703, 204, 6728]
[416, 1138, 14764, 277, 4227, 779, 11534]
[12016, 488, 12223, 721, 9781, 86, 1988]
[10922, 1194, 6781, 723, 3294, 864, 14700]
[490, 875, 6478, 853, 5033, 1278, 5382]
[13432, 1138, 14764, 277, 3904, 144, 14764]
[14420, 387, 6547, 246, 1278, 265, 3673]
[12555, 672, 2445, 721, 8269, 86, 13435]
[3322, 1147, 10119, 1278, 1666, 516, 1999]
[2334, 1008, 8956, 973, 366, 1226, 6044]
[2934, 216, 14162, 71, 10533, 216, 530]
[13764, 1122, 14401, 53, 4544, 953, 5590]
[477, 1111, 10919, 495, 3994, 624, 12786]
[4924, 1226, 8707, 1096, 2668, 548, 6856]
[5205, 1226, 562, 1296, 11957, 875, 10959]
[4460, 1122, 5869, 565, 4188, 508, 13109]
[10344, 1147, 9671, 1008, 13044, 612, 1762]
[7193, 1128, 13694, 1259, 7927, 242, 993]
[14719, 192, 7555, 665, 6965, 983, 2805]
[12302, 553, 12996, 814, 9433, 1058, 14302]
[4920, 104, 7679, 242, 8544, 814, 2608]
[11038, 425, 14103, 583, 4293, 37, 6614]
[12744, 875, 13408, 624, 14693, 565, 5011]
[7854, 104, 6554, 242, 14004, 65, 4119]
[13595, 368, 3990, 968, 8512, 1096, 2364]
[149, 488, 12223, 349, 1356, 143, 9679]
[521, 488, 12223, 47, 10599, 349, 543]
[14723, 379, 4774, 53, 12125, 910, 13618]
[2244, 133, 8621, 1147, 1681, 1142, 11614]
[479, 844, 5952, 65, 4867, 136, 134]
[8393, 60, 4553, 565, 6872, 508, 3110]
[4409, 751, 8354, 74, 14439, 805, 9827]
[14380, 565, 6872, 508, 13393, 1138, 13088]
[2310, 1058, 7408, 565, 12891, 508, 10997]
[14346, 421, 13610, 233, 1483, 261, 11929]
[6554, 242, 11621, 814, 12455, 421, 6446]
[9861, 948, 6856, 1339, 9652, 1123, 6856]
[7184, 93, 10459, 892, 14779, 429, 12548]
[12924, 167, 949, 887, 12924, 665, 1559]
[9594, 143, 9280, 1122, 5775, 565, 4415]
[4334, 1142, 5025, 624, 4695, 1122, 3386]
[12, 516, 6260, 93, 3312, 516, 3632]
[1713, 491, 2219, 648, 13045, 856, 4420]
[2464, 204, 9948, 1008, 7204, 204, 502]
[14914, 861, 5770, 136, 11258, 1111, 8085]
[3683, 805, 10352, 516, 4643, 93, 6070]
[3631, 472, 7890, 472, 6327, 472, 8855]
[999, 421, 2349, 78, 11690, 1079, 4019]
[3047, 1053, 8473, 1147, 8719, 1142, 7060]
[10719, 65, 6715, 416, 9036, 180, 3339]
[7728, 1008, 9097, 1008, 9349, 1138, 13088]
[12885, 684, 470, 933, 7093, 721, 8269]
[8254, 1164, 6954, 479, 2896, 677, 6417]
[2382, 565, 5011, 508, 697, 53, 5590]
[9822, 421, 9072, 910, 9024, 488, 12223]
[7642, 1053, 4358, 1168, 8295, 844, 552]
[2905, 387, 2119, 665, 4946, 387, 7555]
[733, 1180, 5495, 421, 8464, 493, 11058]
[4435, 154, 9437, 452, 7536, 1054, 4030]
[14025, 1278, 842, 1122, 14728, 53, 5590]
[8933, 600, 2313, 872, 5876, 52, 5239]
[8435, 1044, 4358, 1168, 11688, 1088, 6564]
[10647, 853, 14182, 1142, 10647, 624, 8138]
[2764, 887, 7555, 665, 13677, 387, 2119]
[9513, 76, 187, 565, 14398, 508, 3522]
[5836, 368, 6030, 1263, 10251, 516, 4643]
[751, 1203, 3325, 35, 13265, 1128, 12216]
[3071, 200, 5690, 902, 3325, 35, 5688]
[415, 1194, 6781, 723, 11598, 887, 4746]
[14950, 516, 1209, 93, 14379, 1142, 10193]
[791, 421, 2225, 910, 5281, 910, 2225]
[3277, 721, 9781, 86, 13481, 892, 12527]
[7770, 93, 5794, 143, 8991, 368, 13644]
[9082, 355, 10224, 1296, 4123, 104, 5956]
[12708, 204, 11438, 204, 1180, 1008, 271]
[11760, 26, 733, 890, 12795, 1207, 2960]
[3583, 421, 6856, 1164, 5962, 233, 6856]
[12555, 681, 2050, 721, 9781, 86, 7787]
[2768, 241, 2118, 800, 5590, 845, 3739]
[6344, 53, 5590, 261, 14480, 1255, 3325]
[7300, 193, 5016, 516, 7040, 93, 8876]
[2715, 1142, 13227, 520, 5586, 1263, 518]
[10845, 355, 1035, 136, 13169, 624, 7475]
[2771, 421, 2273, 421, 1483, 1327, 733]
[8887, 1164, 1800, 637, 3325, 35, 8906]
[969, 1147, 14359, 1122, 10356, 1138, 14764]
[274, 277, 3904, 144, 5390, 277, 824]
[205, 589, 3175, 1201, 4431, 589, 14167]
[14264, 1273, 14702, 536, 12006, 652, 3550]
[13750, 269, 13506, 597, 4102, 1088, 947]
[11973, 104, 2654, 619, 12592, 329, 13957]
[9873, 565, 4, 508, 11508, 53, 12937]
[10967, 727, 8882, 814, 1272, 1044, 2261]
[2825, 1111, 11668, 856, 13546, 648, 7800]
[1357, 751, 10780, 946, 3325, 35, 5688]
[2326, 565, 14398, 508, 8448, 1122, 14586]
[13107, 721, 8269, 86, 9081, 326, 3698]
[1465, 721, 9781, 86, 11802, 521, 12958]
[5241, 845, 3340, 1291, 10673, 421, 9556]
