[10430, 204, 12021, 892, 6172, 429, 9150, 1226, 6858]
[3440, 1096, 5590, 845, 5709, 1291, 2744, 421, 1055]
[4257, 93, 4147, 565, 5011, 508, 5158, 1122, 3623]
[13213, 421, 11190, 910, 606, 910, 11190, 981, 8939]
[1717, 216, 12194, 71, 10537, 448, 10794, 71, 4616]
[3088, 530, 12126, 470, 14184, 721, 8269, 86, 8923]
[2448, 1279, 4632, 1218, 723, 333, 1768, 909, 7898]
[11127, 143, 1552, 588, 2502, 1147, 1583, 1226, 9428]
[10267, 877, 7158, 1244, 2139, 192, 2119, 246, 5368]
[12449, 104, 546, 1058, 14816, 53, 5590, 1164, 11809]
[8216, 62, 10787, 721, 9781, 86, 10900, 484, 8403]
[8620, 565, 4, 508, 4850, 973, 281, 1122, 1234]
[2000, 65, 3157, 136, 9352, 1111, 5174, 416, 12175]
[8875, 136, 8432, 520, 13837, 968, 2279, 1177, 10686]
[10806, 1142, 7060, 624, 2715, 1142, 13227, 520, 1133]
[12578, 1226, 8106, 935, 8882, 562, 6768, 493, 1297]
[7062, 1142, 3198, 1111, 4238, 136, 3198, 1111, 12463]
[811, 1011, 3776, 1, 3325, 35, 8906, 803, 14156]
[11310, 332, 3031, 441, 5113, 1147, 912, 1226, 494]
[553, 1111, 3766, 751, 7907, 1226, 7697, 1088, 947]
[13417, 721, 9781, 86, 2051, 1263, 9818, 368, 6758]
[7096, 1275, 8914, 1296, 3734, 558, 7432, 1275, 12495]
[3074, 421, 14885, 78, 4358, 1168, 4128, 1296, 7761]
[13174, 93, 3369, 330, 4744, 193, 13981, 565, 5011]
[204, 421, 6768, 493, 14049, 910, 12125, 1128, 13694]
[8752, 296, 10243, 792, 8933, 600, 2313, 872, 10840]
[4947, 721, 8269, 86, 492, 844, 10861, 65, 3402]
[1377, 368, 2921, 384, 6832, 624, 12953, 875, 9991]
[6708, 727, 733, 1180, 3690, 5, 756, 826, 9902]
[9237, 751, 6151, 1122, 4143, 565, 3453, 508, 5957]
